com.samsung.shealth.step_daily_trend,6311013,6,,,,,,,,,,
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
a5e9a80a-dbf7-4a61-a6a5-aff141ebbce7.binning_data.json,2024-02-26 00:00:02,2024-02-25 00:00:03,com.sec.android.app.shealth,106,1285,1.6463897,1021.08014,48.39001,w0vQtxj0o5,com.sec.android.app.shealth,a5e9a80a-dbf7-4a61-a6a5-aff141ebbce7,1708732800000
9eab29ec-da15-4f87-883f-e6a069a9b85d.binning_data.json,2024-02-26 13:30:02,2024-02-25 12:16:42,com.sec.android.app.shealth,-2,4108,1.5537398,3209.5408,137.42995,VfS0qUERdZ,com.sec.android.app.shealth,9eab29ec-da15-4f87-883f-e6a069a9b85d,1708819200000
3585364f-c15f-4b8c-a39c-6c613f72d4bd.binning_data.json,2024-02-27 00:00:01,2024-02-26 00:00:02,com.sec.android.app.shealth,106,4108,1.5537398,3209.5408,137.42995,w0vQtxj0o5,com.sec.android.app.shealth,3585364f-c15f-4b8c-a39c-6c613f72d4bd,1708819200000
fd483949-d9f2-4420-b0bd-9a8573e14938.binning_data.json,2024-02-28 20:28:44,2024-02-28 18:13:32,com.sec.android.app.shealth,-2,3286,1.5571455,2569.4805,115.669975,VfS0qUERdZ,com.sec.android.app.shealth,fd483949-d9f2-4420-b0bd-9a8573e14938,1709078400000
a94e52ad-1f54-4538-9296-141f0038465c.binning_data.json,2024-02-29 00:00:05,2024-02-29 00:00:05,com.sec.android.app.shealth,106,3286,1.5571455,2569.4805,115.669975,w0vQtxj0o5,com.sec.android.app.shealth,a94e52ad-1f54-4538-9296-141f0038465c,1709078400000
0221d901-17cc-4801-b0dc-85fca73c25c0.binning_data.json,2024-03-18 20:29:30,2024-03-18 20:29:30,com.sec.android.app.shealth,-2,3545,1.5461339,2766.6208,130.79,VfS0qUERdZ,com.sec.android.app.shealth,0221d901-17cc-4801-b0dc-85fca73c25c0,1710460800000
4f064df3-7cb9-4880-a0d2-805d58ebb279.binning_data.json,2024-03-18 20:29:30,2024-03-18 20:29:30,com.sec.android.app.shealth,-2,5191,1.4473381,3989.2803,179.56998,VfS0qUERdZ,com.sec.android.app.shealth,4f064df3-7cb9-4880-a0d2-805d58ebb279,1710633600000
a987a482-6b22-45a7-b261-82c51fac4e7c.binning_data.json,2024-03-18 20:29:30,2024-03-18 20:29:30,com.sec.android.app.shealth,-2,18820,1.5072433,14621.884,669.06024,VfS0qUERdZ,com.sec.android.app.shealth,a987a482-6b22-45a7-b261-82c51fac4e7c,1710547200000
12c1ad41-8bc9-447a-91e7-88c130e376fb.binning_data.json,2024-03-18 20:29:30,2024-03-18 20:29:30,com.sec.android.app.shealth,106,18820,1.5072433,14621.884,669.06024,w0vQtxj0o5,com.sec.android.app.shealth,12c1ad41-8bc9-447a-91e7-88c130e376fb,1710547200000
a4806688-92cd-42a9-80fd-b5bee7f9ed1b.binning_data.json,2024-03-18 20:29:30,2024-03-18 20:29:30,com.sec.android.app.shealth,106,5191,1.4473381,3989.2803,179.56998,w0vQtxj0o5,com.sec.android.app.shealth,a4806688-92cd-42a9-80fd-b5bee7f9ed1b,1710633600000
e6e40b9f-df3c-4cd7-99dc-141c1da8f06c.binning_data.json,2024-03-18 20:29:30,2024-03-18 20:29:30,com.sec.android.app.shealth,106,3545,1.5461339,2766.6208,130.79,w0vQtxj0o5,com.sec.android.app.shealth,e6e40b9f-df3c-4cd7-99dc-141c1da8f06c,1710460800000
2d6da6b5-59a0-4aec-b485-c343113d644f.binning_data.json,2024-03-26 08:02:17,2024-03-26 08:02:17,com.sec.android.app.shealth,-2,6179,1.4598233,4753.23,211.73003,VfS0qUERdZ,com.sec.android.app.shealth,2d6da6b5-59a0-4aec-b485-c343113d644f,1711065600000
0be9189d-ce12-4dbc-acb6-55553530e6f5.binning_data.json,2024-03-29 12:28:33,2024-03-26 08:02:17,com.sec.android.app.shealth,-2,22696,1.5073854,17606.611,805.8608,VfS0qUERdZ,com.sec.android.app.shealth,0be9189d-ce12-4dbc-acb6-55553530e6f5,1711152000000
f4f83e72-9502-481e-b823-82d07a4d6c20.binning_data.json,2024-03-26 08:02:18,2024-03-26 08:02:18,com.sec.android.app.shealth,106,6179,1.4598233,4753.23,211.73003,w0vQtxj0o5,com.sec.android.app.shealth,f4f83e72-9502-481e-b823-82d07a4d6c20,1711065600000
b3b57aa2-f87e-4d86-ac05-a87917a69f3d.binning_data.json,2024-03-26 08:02:18,2024-03-26 08:02:18,com.sec.android.app.shealth,106,16857,1.5125341,13099.366,597.32074,w0vQtxj0o5,com.sec.android.app.shealth,b3b57aa2-f87e-4d86-ac05-a87917a69f3d,1711152000000
d332cfd3-7b94-44bf-a633-429ad5a10829.binning_data.json,2024-04-04 23:00:04,2024-03-29 12:28:33,com.sec.android.app.shealth,-2,12987,1.573526,10202.419,464.1598,VfS0qUERdZ,com.sec.android.app.shealth,d332cfd3-7b94-44bf-a633-429ad5a10829,1711670400000
31d89a8c-431f-44d2-a96a-fee2ac18c5e4.binning_data.json,2024-03-31 00:00:42,2024-03-29 12:28:33,com.sec.android.app.shealth,-2,136,1.4320301,103.41063,5.360009,VfS0qUERdZ,com.sec.android.app.shealth,31d89a8c-431f-44d2-a96a-fee2ac18c5e4,1711238400000
65b7853f-695f-4859-a8df-7637ae7f10a1.binning_data.json,2024-03-30 00:00:03,2024-03-30 00:00:03,com.sec.android.app.shealth,106,136,1.4320301,103.41063,5.360009,w0vQtxj0o5,com.sec.android.app.shealth,65b7853f-695f-4859-a8df-7637ae7f10a1,1711238400000
ec7ca7b5-05a2-4f4b-bd8c-55179a38f74a.binning_data.json,2024-03-30 00:00:03,2024-03-30 00:00:03,com.sec.android.app.shealth,106,12987,1.573526,10202.419,464.1598,w0vQtxj0o5,com.sec.android.app.shealth,ec7ca7b5-05a2-4f4b-bd8c-55179a38f74a,1711670400000
61054847-7a0d-4ca8-9d7b-9b8891765c11.binning_data.json,2024-04-05 23:00:03,2024-03-30 16:34:10,com.sec.android.app.shealth,-2,6102,1.4467869,4714.6914,234.05994,VfS0qUERdZ,com.sec.android.app.shealth,61054847-7a0d-4ca8-9d7b-9b8891765c11,1711756800000
69454b5e-6a48-442c-90ce-422914534f70.binning_data.json,2024-03-31 00:00:02,2024-03-31 00:00:02,com.sec.android.app.shealth,106,6102,1.4467869,4714.6914,234.05994,w0vQtxj0o5,com.sec.android.app.shealth,69454b5e-6a48-442c-90ce-422914534f70,1711756800000
