date_time,steps,speed_ms,distance_m,calorie
1970-01-01 00:28:40.224000,5672,1.5228034,4403.9126,200.39992
1970-01-01 00:28:40.224000,5672,1.5228034,4403.9126,200.39992
1970-01-01 00:28:40.742400,7139,1.4771311,5503.5493,259.0899
1970-01-01 00:28:40.656000,9427,1.3639939,7131.714,332.9901
1970-01-01 00:28:40.828800,8957,1.4813801,6914.4624,311.9502
1970-01-01 00:28:40.828800,6490,1.4592624,4991.0903,226.63
1970-01-01 00:28:40.656000,9427,1.3639939,7131.714,332.9901
1970-01-01 00:28:40.742400,7139,1.4771311,5503.5493,259.0899
1970-01-01 00:28:41.779200,17800,1.3971497,13530.373,625.7507
1970-01-01 00:28:41.779200,17800,1.3971497,13530.373,625.7507
1970-01-01 00:28:41.865600,8214,1.4087625,6264.1587,288.1099
1970-01-01 00:28:41.865600,8214,1.4087625,6264.1587,288.1099
1970-01-01 00:28:41.952000,10992,1.3879197,8350.277,393.9503
1970-01-01 00:28:41.952000,10992,1.3879197,8350.277,393.9503
1970-01-01 00:28:42.038400,55,1.3427033,41.170002,1.92
1970-01-01 00:28:42.038400,55,1.3427033,41.170002,1.92
1970-01-01 00:28:42.124800,10188,1.3955176,7743.669,366.17007
1970-01-01 00:28:42.124800,10188,1.3955176,7743.669,366.17007
1970-01-01 00:28:42.211200,6538,1.7757912,5395.9985,336.35037
1970-01-01 00:28:42.211200,6538,1.7757912,5395.9985,336.35037
1970-01-01 00:28:42.297600,25565,1.5393779,20022.975,993.41223
1970-01-01 00:28:42.297600,25565,1.5393779,20022.975,993.41223
1970-01-01 00:28:42.384000,30682,1.5603826,24150.057,1182.7148
1970-01-01 00:28:42.384000,30682,1.5603826,24150.057,1182.7148
1970-01-01 00:28:42.470400,13403,1.751347,11025.762,594.6514
1970-01-01 00:28:42.470400,13403,1.751347,11025.762,594.6514
1970-01-01 00:28:42.556800,12279,1.5152282,9520.329,423.22983
1970-01-01 00:28:42.556800,12279,1.5152282,9520.329,423.22983
1970-01-01 00:28:42.643200,19792,1.6880906,16335.739,862.897
1970-01-01 00:28:42.643200,19792,1.6880906,16335.739,862.897
1970-01-01 00:28:42.729600,6323,1.4418502,4920.8,237.40002
1970-01-01 00:28:42.729600,6323,1.4418502,4920.8,237.40002
1970-01-01 00:28:42.816000,17385,1.714401,14501.103,781.2201
1970-01-01 00:28:42.816000,17385,1.714401,14501.103,781.2201
1970-01-01 00:28:42.902400,6783,1.5267521,5363.551,253.70003
1970-01-01 00:28:42.902400,6783,1.5267521,5363.551,253.70003
1970-01-01 00:28:42.988800,25358,1.6958557,20774.215,1116.0807
1970-01-01 00:28:42.988800,25358,1.6958557,20774.215,1116.0807
1970-01-01 00:28:43.075200,12390,1.8364483,10486.418,621.132
1970-01-01 00:28:43.075200,12390,1.8364483,10486.418,621.132
1970-01-01 00:28:43.161600,13409,1.4752915,10511.615,508.68027
1970-01-01 00:28:43.420800,8603,1.488571,6748.303,369.36023
1970-01-01 00:28:43.248000,9980,1.4617504,7774.37,383.61002
1970-01-01 00:28:43.334400,7103,1.4590809,5514.41,268.23993
1970-01-01 00:28:43.334400,7103,1.4590809,5514.41,268.23993
1970-01-01 00:28:43.248000,9980,1.4617504,7774.37,383.61002
1970-01-01 00:28:43.161600,13409,1.4752915,10511.615,508.68027
1970-01-01 00:28:43.420800,8603,1.488571,6748.303,369.36023
1970-01-01 00:28:43.507200,14765,1.6691222,11997.421,593.17004
1970-01-01 00:28:43.507200,14765,1.6691222,11997.421,593.17004
1970-01-01 00:28:43.593600,3887,1.5757339,3104.4902,144.74002
1970-01-01 00:28:43.593600,3887,1.5757339,3104.4902,144.74002
1970-01-01 00:28:43.680000,19084,1.6107985,15402.364,812.45044
1970-01-01 00:28:43.680000,19084,1.6107985,15402.364,812.45044
1970-01-01 00:28:43.766400,8673,1.3855178,6639.841,312.74973
1970-01-01 00:28:43.766400,8673,1.3855178,6639.841,312.74973
